"","Address","Species","Block","Street","Trap","AddressNumberAndStreet","Latitude","Longitude","WnvPresent","Date","Tmax","Tmin","Tavg","Depart","DewPoint","WetBulb","Heat","Cool","Sunrise","Sunset","PrecipTotal","StnPressure","SeaLevel","ResultSpeed","ResultDir","AvgSpeed"
"11","2100 North Stave Street, Chicago, IL 60647, USA","CULEX PIPIENS/RESTUANS","21"," N STAVE ST","T050","2100  N STAVE ST, Chicago, IL",41.919343,-87.694259,0,2007-05-29,88,60,74,10,58,65,0,9,421,1917,0,29.39,30.11,5.8,18,6.5
"12","2200 North Cannon Drive, Chicago, IL 60614, USA","CULEX PIPIENS/RESTUANS","22"," N CANNON DR","T054","2200  N CANNON DR, Chicago, IL",41.921965,-87.632085,0,2007-05-29,88,60,74,10,58,65,0,9,421,1917,0,29.39,30.11,5.8,18,6.5
"13","2200 North Cannon Drive, Chicago, IL 60614, USA","CULEX RESTUANS","22"," N CANNON DR","T054","2200  N CANNON DR, Chicago, IL",41.921965,-87.632085,0,2007-05-29,88,60,74,10,58,65,0,9,421,1917,0,29.39,30.11,5.8,18,6.5
"14","2200 West 113th Street, Chicago, IL 60643, USA","CULEX PIPIENS/RESTUANS","22"," W 113TH ST","T086","2200  W 113TH ST, Chicago, IL",41.688324,-87.676709,0,2007-05-29,88,60,74,10,58,65,0,9,421,1917,0,29.39,30.11,5.8,18,6.5
"15","2200 West 113th Street, Chicago, IL 60643, USA","CULEX RESTUANS","22"," W 113TH ST","T086","2200  W 113TH ST, Chicago, IL",41.688324,-87.676709,0,2007-05-29,88,60,74,10,58,65,0,9,421,1917,0,29.39,30.11,5.8,18,6.5
"16","1100 South Peoria Street, Chicago, IL 60608, USA","CULEX RESTUANS","11"," S PEORIA ST","T091","1100  S PEORIA ST, Chicago, IL",41.862292,-87.64886,0,2007-05-29,88,60,74,10,58,65,0,9,421,1917,0,29.39,30.11,5.8,18,6.5
"17","1700 West 95th Street, Chicago, IL 60643, USA","CULEX RESTUANS","17"," W 95TH ST","T094","1700  W 95TH ST, Chicago, IL",41.720848,-87.666014,0,2007-05-29,88,60,74,10,58,65,0,9,421,1917,0,29.39,30.11,5.8,18,6.5
"18","2200 West 89th Street, Chicago, IL 60643, USA","CULEX RESTUANS","22"," W 89TH ST","T096","2200  W 89TH ST, Chicago, IL",41.731922,-87.677512,0,2007-05-29,88,60,74,10,58,65,0,9,421,1917,0,29.39,30.11,5.8,18,6.5
"19","2200 West 89th Street, Chicago, IL 60643, USA","CULEX PIPIENS","22"," W 89TH ST","T096","2200  W 89TH ST, Chicago, IL",41.731922,-87.677512,0,2007-05-29,88,60,74,10,58,65,0,9,421,1917,0,29.39,30.11,5.8,18,6.5
"20","North Streeter Drive, Chicago, IL 60611, USA","CULEX PIPIENS/RESTUANS","53"," N STREETER DR","T129","5300  N STREETER DR, Chicago, IL",41.891126,-87.61156,0,2007-05-29,88,60,74,10,58,65,0,9,421,1917,0,29.39,30.11,5.8,18,6.5
"21","North Streeter Drive, Chicago, IL 60611, USA","CULEX RESTUANS","53"," N STREETER DR","T129","5300  N STREETER DR, Chicago, IL",41.891126,-87.61156,0,2007-05-29,88,60,74,10,58,65,0,9,421,1917,0,29.39,30.11,5.8,18,6.5
"22","6500 North Oak Park Avenue, Chicago, IL 60631, USA","CULEX PIPIENS/RESTUANS","65"," N OAK PARK AVE","T143","6500  N OAK PARK AVE, Chicago, IL",41.999129,-87.795585,0,2007-05-29,88,60,74,10,58,65,0,9,421,1917,0,29.39,30.11,5.8,18,6.5
"23","7500 North Oakley Avenue, Chicago, IL 60645, USA","CULEX PIPIENS/RESTUANS","75"," N OAKLEY AVE","T148","7500  N OAKLEY AVE, Chicago, IL",42.01743,-87.687769,0,2007-05-29,88,60,74,10,58,65,0,9,421,1917,0,29.39,30.11,5.8,18,6.5
"24","1500 North Long Avenue, Chicago, IL 60651, USA","CULEX RESTUANS","15"," N LONG AVE","T153","1500  N LONG AVE, Chicago, IL",41.907645,-87.760886,0,2007-05-29,88,60,74,10,58,65,0,9,421,1917,0,29.39,30.11,5.8,18,6.5
"25","8900 South Carpenter Street, Chicago, IL 60620, USA","CULEX RESTUANS","89"," S CARPENTER ST","T159","8900  S CARPENTER ST, Chicago, IL",41.732984,-87.649642,0,2007-05-29,88,60,74,10,58,65,0,9,421,1917,0,29.39,30.11,5.8,18,6.5
"26","4100 North Oak Park Avenue, Chicago, IL 60634, USA","CULEX PIPIENS/RESTUANS","41"," N OAK PARK AVE","T002","4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,0,2007-06-05,64,47,56,-9,48,51,9,0,417,1923,0.42,29.1,29.79,5.2,5,7.6
"27","4100 North Oak Park Avenue, Chicago, IL 60634, USA","CULEX RESTUANS","41"," N OAK PARK AVE","T002","4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,0,2007-06-05,64,47,56,-9,48,51,9,0,417,1923,0.42,29.1,29.79,5.2,5,7.6
"28","4100 North Oak Park Avenue, Chicago, IL 60634, USA","CULEX PIPIENS","41"," N OAK PARK AVE","T002","4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,0,2007-06-05,64,47,56,-9,48,51,9,0,417,1923,0.42,29.1,29.79,5.2,5,7.6
"29","7900 West Foster Avenue, Chicago, IL 60656, USA","CULEX PIPIENS/RESTUANS","79"," W FOSTER AVE","T015","7900  W FOSTER AVE, Chicago, IL",41.974089,-87.824812,0,2007-06-05,64,47,56,-9,48,51,9,0,417,1923,0.42,29.1,29.79,5.2,5,7.6
"30","7900 West Foster Avenue, Chicago, IL 60656, USA","CULEX RESTUANS","79"," W FOSTER AVE","T015","7900  W FOSTER AVE, Chicago, IL",41.974089,-87.824812,0,2007-06-05,64,47,56,-9,48,51,9,0,417,1923,0.42,29.1,29.79,5.2,5,7.6
"31","1500 West Webster Avenue, Chicago, IL 60614, USA","CULEX PIPIENS/RESTUANS","15"," W WEBSTER AVE","T045","1500  W WEBSTER AVE, Chicago, IL",41.9216,-87.666455,0,2007-06-05,64,47,56,-9,48,51,9,0,417,1923,0.42,29.1,29.79,5.2,5,7.6
"32","1500 West Webster Avenue, Chicago, IL 60614, USA","CULEX RESTUANS","15"," W WEBSTER AVE","T045","1500  W WEBSTER AVE, Chicago, IL",41.9216,-87.666455,0,2007-06-05,64,47,56,-9,48,51,9,0,417,1923,0.42,29.1,29.79,5.2,5,7.6
"33","1500 West Webster Avenue, Chicago, IL 60614, USA","CULEX PIPIENS","15"," W WEBSTER AVE","T045","1500  W WEBSTER AVE, Chicago, IL",41.9216,-87.666455,0,2007-06-05,64,47,56,-9,48,51,9,0,417,1923,0.42,29.1,29.79,5.2,5,7.6
"34","2500 West Grand Avenue, Chicago, IL 60654, USA","CULEX RESTUANS","25"," W GRAND AVE","T046","2500  W GRAND AVE, Chicago, IL",41.891118,-87.654491,0,2007-06-05,64,47,56,-9,48,51,9,0,417,1923,0.42,29.1,29.79,5.2,5,7.6
"35","1100 Roosevelt Road, Chicago, IL 60608, USA","CULEX PIPIENS/RESTUANS","11"," W ROOSEVELT","T048","1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,0,2007-06-05,64,47,56,-9,48,51,9,0,417,1923,0.42,29.1,29.79,5.2,5,7.6
"36","1100 Roosevelt Road, Chicago, IL 60608, USA","CULEX RESTUANS","11"," W ROOSEVELT","T048","1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,0,2007-06-05,64,47,56,-9,48,51,9,0,417,1923,0.42,29.1,29.79,5.2,5,7.6
"37","1100 Roosevelt Road, Chicago, IL 60608, USA","CULEX PIPIENS","11"," W ROOSEVELT","T048","1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,0,2007-06-05,64,47,56,-9,48,51,9,0,417,1923,0.42,29.1,29.79,5.2,5,7.6
"38","1100 West Chicago Avenue, Chicago, IL 60642, USA","CULEX RESTUANS","11"," W CHICAGO","T049","1100  W CHICAGO, Chicago, IL",41.896282,-87.655232,0,2007-06-05,64,47,56,-9,48,51,9,0,417,1923,0.42,29.1,29.79,5.2,5,7.6
"39","2100 North Stave Street, Chicago, IL 60647, USA","CULEX PIPIENS/RESTUANS","21"," N STAVE ST","T050","2100  N STAVE ST, Chicago, IL",41.919343,-87.694259,0,2007-06-05,64,47,56,-9,48,51,9,0,417,1923,0.42,29.1,29.79,5.2,5,7.6
"40","2100 North Stave Street, Chicago, IL 60647, USA","CULEX RESTUANS","21"," N STAVE ST","T050","2100  N STAVE ST, Chicago, IL",41.919343,-87.694259,0,2007-06-05,64,47,56,-9,48,51,9,0,417,1923,0.42,29.1,29.79,5.2,5,7.6
"41","2200 North Cannon Drive, Chicago, IL 60614, USA","CULEX RESTUANS","22"," N CANNON DR","T054","2200  N CANNON DR, Chicago, IL",41.921965,-87.632085,0,2007-06-05,64,47,56,-9,48,51,9,0,417,1923,0.42,29.1,29.79,5.2,5,7.6
"42","2200 West 113th Street, Chicago, IL 60643, USA","CULEX RESTUANS","22"," W 113TH ST","T086","2200  W 113TH ST, Chicago, IL",41.688324,-87.676709,0,2007-06-05,64,47,56,-9,48,51,9,0,417,1923,0.42,29.1,29.79,5.2,5,7.6
"43","1700 West 95th Street, Chicago, IL 60643, USA","CULEX PIPIENS/RESTUANS","17"," W 95TH ST","T094","1700  W 95TH ST, Chicago, IL",41.720848,-87.666014,0,2007-06-05,64,47,56,-9,48,51,9,0,417,1923,0.42,29.1,29.79,5.2,5,7.6
"44","2200 West 89th Street, Chicago, IL 60643, USA","CULEX PIPIENS/RESTUANS","22"," W 89TH ST","T096","2200  W 89TH ST, Chicago, IL",41.731922,-87.677512,0,2007-06-05,64,47,56,-9,48,51,9,0,417,1923,0.42,29.1,29.79,5.2,5,7.6
"45","2200 West 89th Street, Chicago, IL 60643, USA","CULEX RESTUANS","22"," W 89TH ST","T096","2200  W 89TH ST, Chicago, IL",41.731922,-87.677512,0,2007-06-05,64,47,56,-9,48,51,9,0,417,1923,0.42,29.1,29.79,5.2,5,7.6
"46","2200 West 89th Street, Chicago, IL 60643, USA","CULEX PIPIENS","22"," W 89TH ST","T096","2200  W 89TH ST, Chicago, IL",41.731922,-87.677512,0,2007-06-05,64,47,56,-9,48,51,9,0,417,1923,0.42,29.1,29.79,5.2,5,7.6
"47","6500 North Oak Park Avenue, Chicago, IL 60631, USA","CULEX PIPIENS/RESTUANS","65"," N OAK PARK AVE","T143","6500  N OAK PARK AVE, Chicago, IL",41.999129,-87.795585,0,2007-06-05,64,47,56,-9,48,51,9,0,417,1923,0.42,29.1,29.79,5.2,5,7.6
"48","6500 North Oak Park Avenue, Chicago, IL 60631, USA","CULEX RESTUANS","65"," N OAK PARK AVE","T143","6500  N OAK PARK AVE, Chicago, IL",41.999129,-87.795585,0,2007-06-05,64,47,56,-9,48,51,9,0,417,1923,0.42,29.1,29.79,5.2,5,7.6
"49","1500 North Long Avenue, Chicago, IL 60651, USA","CULEX RESTUANS","15"," N LONG AVE","T153","1500  N LONG AVE, Chicago, IL",41.907645,-87.760886,0,2007-06-05,64,47,56,-9,48,51,9,0,417,1923,0.42,29.1,29.79,5.2,5,7.6
"50","8900 South Carpenter Street, Chicago, IL 60620, USA","CULEX RESTUANS","89"," S CARPENTER ST","T159","8900  S CARPENTER ST, Chicago, IL",41.732984,-87.649642,0,2007-06-05,64,47,56,-9,48,51,9,0,417,1923,0.42,29.1,29.79,5.2,5,7.6
"51","9100 West Higgins Avenue, Chicago, IL 60656, USA","CULEX RESTUANS","91"," W HIGGINS AVE","T009","9100  W HIGGINS AVE, Chicago, IL",41.981964,-87.812827,0,2007-06-05,64,47,56,-9,48,51,9,0,417,1923,0.42,29.1,29.79,5.2,5,7.6
"52","3600 North Pittsburgh Avenue, Chicago, IL 60634, USA","CULEX RESTUANS","36"," N PITTSBURGH AVE","T011","3600  N PITTSBURGH AVE, Chicago, IL",41.944869,-87.832763,0,2007-06-05,64,47,56,-9,48,51,9,0,417,1923,0.42,29.1,29.79,5.2,5,7.6
"53","7200 North Oketo Avenue, Chicago, IL 60631, USA","CULEX RESTUANS","72"," N OKETO AVE","T016","7200  N OKETO AVE, Chicago, IL",42.011601,-87.811506,0,2007-06-05,64,47,56,-9,48,51,9,0,417,1923,0.42,29.1,29.79,5.2,5,7.6
"54","3800 North California Avenue, Chicago, IL 60618, USA","CULEX RESTUANS","38"," N CALIFORNIA AVE","T019","3800  N CALIFORNIA AVE, Chicago, IL",41.94983,-87.698457,0,2007-06-05,64,47,56,-9,48,51,9,0,417,1923,0.42,29.1,29.79,5.2,5,7.6
"55","4900 West Balmoral Avenue, Chicago, IL 60630, USA","CULEX RESTUANS","49"," W BALMORAL AVE","T025","4900  W BALMORAL AVE, Chicago, IL",41.979243,-87.750938,0,2007-06-05,64,47,56,-9,48,51,9,0,417,1923,0.42,29.1,29.79,5.2,5,7.6
"56","5800 North Western Avenue, Chicago, IL 60659, USA","CULEX RESTUANS","58"," N WESTERN AVE","T028","5800  N WESTERN AVE, Chicago, IL",41.986921,-87.689778,0,2007-06-05,64,47,56,-9,48,51,9,0,417,1923,0.42,29.1,29.79,5.2,5,7.6
"57","5000 South Central Avenue, Chicago, IL 60638, USA","CULEX PIPIENS/RESTUANS","50"," S CENTRAL AVE","T031","5000  S CENTRAL AVE, Chicago, IL",41.801498,-87.763416,0,2007-06-05,64,47,56,-9,48,51,9,0,417,1923,0.42,29.1,29.79,5.2,5,7.6
"58","1400 North Sacramento Avenue, Chicago, IL 60622, USA","CULEX RESTUANS","14"," N HUMBOLDT DR","T033","1400  N HUMBOLDT DR, Chicago, IL",41.906638,-87.701431,0,2007-06-05,64,47,56,-9,48,51,9,0,417,1923,0.42,29.1,29.79,5.2,5,7.6
"59","South Vincennes Avenue, Chicago, IL, USA","CULEX RESTUANS","10"," S VINCENNES","T089","1000  S VINCENNES, Chicago, IL",41.723195,-87.64997,0,2007-06-05,64,47,56,-9,48,51,9,0,417,1923,0.42,29.1,29.79,5.2,5,7.6
"60","University of Illinois at Chicago, 1100 South Ashland Avenue, Chicago, IL 60607, USA","CULEX PIPIENS/RESTUANS","11"," S ASHLAND AVE","T090","1100  S ASHLAND AVE, Chicago, IL",41.868077,-87.666901,0,2007-06-05,64,47,56,-9,48,51,9,0,417,1923,0.42,29.1,29.79,5.2,5,7.6
"61","University of Illinois at Chicago, 1100 South Ashland Avenue, Chicago, IL 60607, USA","CULEX RESTUANS","11"," S ASHLAND AVE","T090","1100  S ASHLAND AVE, Chicago, IL",41.868077,-87.666901,0,2007-06-05,64,47,56,-9,48,51,9,0,417,1923,0.42,29.1,29.79,5.2,5,7.6
"62","1100 South State Street, Chicago, IL 60605, USA","CULEX PIPIENS/RESTUANS","11"," S STATE ST","T092","1100  S STATE ST, Chicago, IL",41.869216,-87.627561,0,2007-06-05,64,47,56,-9,48,51,9,0,417,1923,0.42,29.1,29.79,5.2,5,7.6
"63","4200 West 127th Street, Alsip, IL 60803, USA","CULEX PIPIENS/RESTUANS","42"," W 127TH PL","T135","4200  W 127TH PL, Chicago, IL",41.662014,-87.724608,0,2007-06-05,64,47,56,-9,48,51,9,0,417,1923,0.42,29.1,29.79,5.2,5,7.6
"64","4200 West 127th Street, Alsip, IL 60803, USA","CULEX RESTUANS","42"," W 127TH PL","T135","4200  W 127TH PL, Chicago, IL",41.662014,-87.724608,0,2007-06-05,64,47,56,-9,48,51,9,0,417,1923,0.42,29.1,29.79,5.2,5,7.6
"65","4200 West 127th Street, Alsip, IL 60803, USA","CULEX PIPIENS","42"," W 127TH PL","T135","4200  W 127TH PL, Chicago, IL",41.662014,-87.724608,0,2007-06-05,64,47,56,-9,48,51,9,0,417,1923,0.42,29.1,29.79,5.2,5,7.6
"66","5300 West Agatite Avenue, Chicago, IL 60630, USA","CULEX PIPIENS/RESTUANS","53"," W AGATITE AVE","T141","5300  W AGATITE AVE, Chicago, IL",41.961743,-87.76007,0,2007-06-05,64,47,56,-9,48,51,9,0,417,1923,0.42,29.1,29.79,5.2,5,7.6
"67","5300 West Agatite Avenue, Chicago, IL 60630, USA","CULEX RESTUANS","53"," W AGATITE AVE","T141","5300  W AGATITE AVE, Chicago, IL",41.961743,-87.76007,0,2007-06-05,64,47,56,-9,48,51,9,0,417,1923,0.42,29.1,29.79,5.2,5,7.6
"68","4000 North Austin Avenue, Chicago, IL 60634, USA","CULEX PIPIENS/RESTUANS","40"," N AUSTIN AVE","T142","4000  N AUSTIN AVE, Chicago, IL",41.953067,-87.776792,0,2007-06-05,64,47,56,-9,48,51,9,0,417,1923,0.42,29.1,29.79,5.2,5,7.6
"69","4000 North Austin Avenue, Chicago, IL 60634, USA","CULEX RESTUANS","40"," N AUSTIN AVE","T142","4000  N AUSTIN AVE, Chicago, IL",41.953067,-87.776792,0,2007-06-05,64,47,56,-9,48,51,9,0,417,1923,0.42,29.1,29.79,5.2,5,7.6
"70","Chicago, IL, USA","CULEX RESTUANS","43"," N ASHLAND AVE OVERPASS","T145","4300  N ASHLAND AVE OVERPASS, Chicago, IL",41.878114,-87.629798,0,2007-06-05,64,47,56,-9,48,51,9,0,417,1923,0.42,29.1,29.79,5.2,5,7.6
"71","4200 North Richmond Street, Chicago, IL 60618, USA","CULEX PIPIENS/RESTUANS","42"," N RICHMOND ST","T146","4200  N RICHMOND ST, Chicago, IL",41.958271,-87.702575,0,2007-06-05,64,47,56,-9,48,51,9,0,417,1923,0.42,29.1,29.79,5.2,5,7.6
"72","4200 North Richmond Street, Chicago, IL 60618, USA","CULEX RESTUANS","42"," N RICHMOND ST","T146","4200  N RICHMOND ST, Chicago, IL",41.958271,-87.702575,0,2007-06-05,64,47,56,-9,48,51,9,0,417,1923,0.42,29.1,29.79,5.2,5,7.6
"73","2800 North Francisco Avenue, Chicago, IL 60618, USA","CULEX RESTUANS","28"," N FRANCISCO AVE","T147","2800  N FRANCISCO AVE, Chicago, IL",41.932094,-87.700117,0,2007-06-05,64,47,56,-9,48,51,9,0,417,1923,0.42,29.1,29.79,5.2,5,7.6
"74","1500 West Granville Avenue, Chicago, IL 60660, USA","CULEX PIPIENS/RESTUANS","15"," W GRANVILLE AVE","T149","1500  W GRANVILLE AVE, Chicago, IL",41.994469,-87.667736,0,2007-06-05,64,47,56,-9,48,51,9,0,417,1923,0.42,29.1,29.79,5.2,5,7.6
"75","1800 West Farwell Avenue, Chicago, IL 60626, USA","CULEX RESTUANS","18"," W FARWELL AVE","T150","1800  W FARWELL AVE, Chicago, IL",42.006858,-87.675919,0,2007-06-05,64,47,56,-9,48,51,9,0,417,1923,0.42,29.1,29.79,5.2,5,7.6
"76","7000 West Armitage Avenue, Chicago, IL 60707, USA","CULEX PIPIENS/RESTUANS","70","  W ARMITAGE AVENUE","T151","7000   W ARMITAGE AVENUE, Chicago, IL",41.916265,-87.800515,0,2007-06-05,64,47,56,-9,48,51,9,0,417,1923,0.42,29.1,29.79,5.2,5,7.6
"77","7000 West Armitage Avenue, Chicago, IL 60707, USA","CULEX RESTUANS","70","  W ARMITAGE AVENUE","T151","7000   W ARMITAGE AVENUE, Chicago, IL",41.916265,-87.800515,0,2007-06-05,64,47,56,-9,48,51,9,0,417,1923,0.42,29.1,29.79,5.2,5,7.6
"78","2500 South Millard Avenue, Chicago, IL 60623, USA","CULEX RESTUANS","25"," S MILLARD AVE","T152","2500  S MILLARD AVE, Chicago, IL",41.846075,-87.716277,0,2007-06-05,64,47,56,-9,48,51,9,0,417,1923,0.42,29.1,29.79,5.2,5,7.6
"79","2100 North Lawler Avenue, Chicago, IL 60639, USA","CULEX RESTUANS","21"," N LAWLER AVE","T154","2100  N LAWLER AVE, Chicago, IL",41.918705,-87.752329,0,2007-06-05,64,47,56,-9,48,51,9,0,417,1923,0.42,29.1,29.79,5.2,5,7.6
"80","3500 West 116th Street, Chicago, IL 60655, USA","CULEX PIPIENS/RESTUANS","35"," W 116TH ST","T158","3500  W 116TH ST, Chicago, IL",41.682587,-87.707973,0,2007-06-05,64,47,56,-9,48,51,9,0,417,1923,0.42,29.1,29.79,5.2,5,7.6
"81","3500 West 116th Street, Chicago, IL 60655, USA","CULEX RESTUANS","35"," W 116TH ST","T158","3500  W 116TH ST, Chicago, IL",41.682587,-87.707973,0,2007-06-05,64,47,56,-9,48,51,9,0,417,1923,0.42,29.1,29.79,5.2,5,7.6
"82","9300 South Doctor Martin Luther King Junior Drive, Chicago, IL 60619, USA","CULEX PIPIENS/RESTUANS","93"," S DR MARTIN LUTHER KING JR DR","T162","9300  S DR MARTIN LUTHER KING JR DR, Chicago, IL",41.725517,-87.614258,0,2007-06-05,64,47,56,-9,48,51,9,0,417,1923,0.42,29.1,29.79,5.2,5,7.6
"83","3700 North Kedvale Avenue, Chicago, IL 60641, USA","CULEX PIPIENS/RESTUANS","37"," N KEDVALE AVE","T218","3700  N KEDVALE AVE, Chicago, IL",41.948167,-87.730698,0,2007-06-05,64,47,56,-9,48,51,9,0,417,1923,0.42,29.1,29.79,5.2,5,7.6
"84","3700 North Kedvale Avenue, Chicago, IL 60641, USA","CULEX RESTUANS","37"," N KEDVALE AVE","T218","3700  N KEDVALE AVE, Chicago, IL",41.948167,-87.730698,0,2007-06-05,64,47,56,-9,48,51,9,0,417,1923,0.42,29.1,29.79,5.2,5,7.6
"85","4500 North Campbell Avenue, Chicago, IL 60625, USA","CULEX RESTUANS","45"," N CAMPBELL AVE","T220","4500  N CAMPBELL AVE, Chicago, IL",41.963976,-87.69181,0,2007-06-05,64,47,56,-9,48,51,9,0,417,1923,0.42,29.1,29.79,5.2,5,7.6
"86","4100 North Oak Park Avenue, Chicago, IL 60634, USA","CULEX PIPIENS/RESTUANS","41"," N OAK PARK AVE","T002","4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,0,2007-06-26,92,70,81,10,69,72,0,16,418,1931,0.16,29.39,30.11,6.1,22,7.1
"87","4100 North Oak Park Avenue, Chicago, IL 60634, USA","CULEX RESTUANS","41"," N OAK PARK AVE","T002","4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,0,2007-06-26,92,70,81,10,69,72,0,16,418,1931,0.16,29.39,30.11,6.1,22,7.1
"88","4100 North Oak Park Avenue, Chicago, IL 60634, USA","CULEX SALINARIUS","41"," N OAK PARK AVE","T002","4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,0,2007-06-26,92,70,81,10,69,72,0,16,418,1931,0.16,29.39,30.11,6.1,22,7.1
"89","6200 North Mandell Avenue, Chicago, IL 60646, USA","CULEX PIPIENS/RESTUANS","62"," N MANDELL AVE","T007","6200  N MANDELL AVE, Chicago, IL",41.994991,-87.769279,0,2007-06-26,92,70,81,10,69,72,0,16,418,1931,0.16,29.39,30.11,6.1,22,7.1
"90","6200 North Mandell Avenue, Chicago, IL 60646, USA","CULEX RESTUANS","62"," N MANDELL AVE","T007","6200  N MANDELL AVE, Chicago, IL",41.994991,-87.769279,0,2007-06-26,92,70,81,10,69,72,0,16,418,1931,0.16,29.39,30.11,6.1,22,7.1
"91","7900 West Foster Avenue, Chicago, IL 60656, USA","CULEX RESTUANS","79"," W FOSTER AVE","T015","7900  W FOSTER AVE, Chicago, IL",41.974089,-87.824812,0,2007-06-26,92,70,81,10,69,72,0,16,418,1931,0.16,29.39,30.11,6.1,22,7.1
"92","1500 West Webster Avenue, Chicago, IL 60614, USA","CULEX PIPIENS/RESTUANS","15"," W WEBSTER AVE","T045","1500  W WEBSTER AVE, Chicago, IL",41.9216,-87.666455,0,2007-06-26,92,70,81,10,69,72,0,16,418,1931,0.16,29.39,30.11,6.1,22,7.1
"93","1500 West Webster Avenue, Chicago, IL 60614, USA","CULEX RESTUANS","15"," W WEBSTER AVE","T045","1500  W WEBSTER AVE, Chicago, IL",41.9216,-87.666455,0,2007-06-26,92,70,81,10,69,72,0,16,418,1931,0.16,29.39,30.11,6.1,22,7.1
"94","2500 West Grand Avenue, Chicago, IL 60654, USA","CULEX PIPIENS/RESTUANS","25"," W GRAND AVE","T046","2500  W GRAND AVE, Chicago, IL",41.891118,-87.654491,0,2007-06-26,92,70,81,10,69,72,0,16,418,1931,0.16,29.39,30.11,6.1,22,7.1
"95","2500 West Grand Avenue, Chicago, IL 60654, USA","CULEX RESTUANS","25"," W GRAND AVE","T046","2500  W GRAND AVE, Chicago, IL",41.891118,-87.654491,0,2007-06-26,92,70,81,10,69,72,0,16,418,1931,0.16,29.39,30.11,6.1,22,7.1
"96","1100 Roosevelt Road, Chicago, IL 60608, USA","CULEX PIPIENS/RESTUANS","11"," W ROOSEVELT","T048","1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,0,2007-06-26,92,70,81,10,69,72,0,16,418,1931,0.16,29.39,30.11,6.1,22,7.1
