Station,Date,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,CodeSum,Depth,Water1,SnowFall,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed
1,5/28/2007,79,50,65,2,47,56,0,0,421,1916,RA,0,NA,0,0,29.43,30.15,4.8,10,5.3
2,5/28/2007,76,54,65,NA,49,57,0,0,NA,NA, ,NA,NA,NA,0,29.49,30.14,4.7,8,5.2
1,5/29/2007,88,60,74,10,58,65,0,9,421,1917,BR HZ,0,NA,0,0,29.39,30.11,5.8,18,6.5
2,5/29/2007,88,65,77,NA,59,66,0,12,NA,NA,BR HZ,NA,NA,NA,0,29.44,30.09,5.8,16,7.4
1,5/30/2007,87,66,77,13,58,65,0,12,420,1918,HZ,0,NA,0,0,29.31,30.04,10.3,19,10.6
2,5/30/2007,89,70,80,NA,57,66,0,15,NA,NA,HZ,NA,NA,NA,0,29.38,30.03,9.7,17,10.1
1,5/31/2007,78,65,72,8,61,65,0,7,420,1919,RA HZ,0,NA,0,0.01,29.28,30,9.3,19,9.9
2,5/31/2007,80,68,74,NA,61,66,0,9,NA,NA,RA BR,NA,NA,NA,0.53,29.34,29.99,8.9,18,9.2
1,6/1/2007,85,62,74,10,63,66,0,9,419,1920,TSRA BR HZ,0,NA,0,0.19,29.19,29.91,4.2,17,6.4
2,6/1/2007,86,67,77,NA,63,67,0,12,NA,NA,TSRA BR HZ,NA,NA,NA,0.21,29.25,29.9,4.7,16,5.8
1,6/2/2007,81,65,73,9,63,67,0,8,419,1920,RA BR,0,NA,0,0.04,29.03,29.77,6.5,22,7.4
2,6/2/2007,81,68,75,NA,62,67,0,10,NA,NA,RA BR,NA,NA,NA,0,29.1,29.76,7.5,21,8.2
1,6/3/2007,78,62,70,6,60,63,0,5,418,1921,TSRA RA BR HZ,0,NA,0,0.01,28.82,29.56,5.2,25,6.7
2,6/3/2007,77,64,71,NA,60,64,0,6,NA,NA,RA BR HZ VCTS,NA,NA,NA,0.32,28.87,29.54,4.9,24,7.2
1,6/4/2007,71,58,65,1,58,60,0,0,418,1922,TSRA RA BR,0,NA,0,0.39,28.82,29.52,7.8,31,9.7
2,6/4/2007,72,56,64,NA,57,60,1,0,NA,NA,RA BR,NA,NA,NA,0.31,28.88,29.51,7.9,30,10.1
1,6/5/2007,64,47,56,-9,48,51,9,0,417,1923,RA BR,0,NA,0,0.42,29.1,29.79,5.2,5,7.6
2,6/5/2007,63,51,57,NA,47,52,8,0,NA,NA,RA BR,NA,NA,NA,0.27,29.16,29.78,6.2,3,8.1
1,6/6/2007,71,44,58,-8,48,55,7,0,417,1923,RA,0,NA,0,0.01,29.07,29.81,10.8,17,11.4
2,6/6/2007,73,48,61,NA,47,55,4,0,NA,NA,RA,NA,NA,NA,0,29.13,29.82,9.6,15,10.6
1,6/7/2007,91,71,81,15,62,69,0,16,417,1924, ,0,NA,0,0,28.84,29.55,22.7,20,23.1
2,6/7/2007,92,71,82,NA,61,68,0,17,NA,NA, ,NA,NA,NA,0,28.91,29.55,20.3,19,20.7
1,6/8/2007,81,57,69,3,53,61,0,4,417,1925, ,0,NA,0,0,29.18,29.85,10.9,28,13.8
2,6/8/2007,81,63,72,NA,54,62,0,7,NA,NA, ,NA,NA,NA,0,29.24,29.83,9.3,26,12.4
1,6/9/2007,79,52,66,0,47,57,0,1,416,1925, ,0,NA,0,0,29.36,30.07,0.3,33,5
2,6/9/2007,79,57,68,NA,49,58,0,3,NA,NA, ,NA,NA,NA,0,29.42,30.05,2.4,19,4.7
1,6/10/2007,81,55,68,1,51,59,0,3,416,1926, ,0,NA,0,0,29.34,30.05,4.8,17,5.6
2,6/10/2007,81,61,71,NA,50,60,0,6,NA,NA, ,NA,NA,NA,0,29.39,30.04,4.6,16,5.8
1,6/11/2007,86,58,72,5,52,61,0,7,416,1926, ,0,NA,0,0,29.41,30.11,4.9,11,6.9
2,6/11/2007,85,65,75,NA,51,61,0,10,NA,NA, ,NA,NA,NA,0,29.47,30.09,6.6,9,8.4
1,6/12/2007,83,62,73,5,50,60,0,8,416,1927, ,0,NA,0,0,29.44,30.16,8.3,5,8.8
2,6/12/2007,82,66,74,NA,51,61,0,9,NA,NA, ,NA,NA,NA,0,29.49,30.14,9.4,5,10
1,6/13/2007,87,60,74,6,53,62,0,9,416,1927, ,0,NA,0,0,29.36,30.09,7.2,5,8.6
2,6/13/2007,86,68,77,NA,53,62,0,12,NA,NA, ,NA,NA,NA,0,NA,NA,7,5,NA
1,6/14/2007,89,64,77,9,55,64,0,12,416,1928, ,0,NA,0,0,29.3,30.02,5.6,5,6.8
2,6/14/2007,89,68,79,NA,54,63,0,14,NA,NA, ,NA,NA,NA,0,29.36,30,5.9,7,6.4
1,6/15/2007,91,63,77,9,56,64,0,12,416,1928, ,0,NA,0,0,29.28,29.99,4.1,6,4.9
2,6/15/2007,89,67,78,NA,56,65,0,13,NA,NA, ,NA,NA,NA,0,29.34,29.97,3.8,9,4.1
1,6/16/2007,93,66,80,11,60,67,0,15,416,1929,RA HZ,0,NA,0,0,29.26,29.97,4.8,28,5.8
2,6/16/2007,92,68,80,NA,61,68,0,15,NA,NA,HZ,NA,NA,NA,0,29.33,29.96,2.1,22,6.1
1,6/17/2007,91,70,81,12,64,70,0,16,416,1929,HZ,0,NA,0,0,29.23,29.95,2.8,11,6.3
2,6/17/2007,91,71,81,NA,65,70,0,16,NA,NA,HZ,NA,NA,NA,0.16,29.28,29.93,4,11,6.1
1,6/18/2007,89,69,79,9,65,70,0,14,416,1929,TSRA RA HZ,0,NA,0,0.28,29.12,29.84,14,20,15.1
2,6/18/2007,89,73,81,NA,65,70,0,16,NA,NA,TSRA RA HZ,NA,NA,NA,0.02,29.19,29.83,12.2,20,12.6
1,6/19/2007,80,65,73,3,55,63,0,8,416,1930,RA,0,NA,0,0.58,29.26,29.95,10.7,28,11.4
2,6/19/2007,81,65,73,NA,55,63,0,8,NA,NA,RA BR,NA,NA,NA,0.93,29.31,29.93,10.1,29,11.3
1,6/20/2007,84,61,73,3,52,61,0,8,416,1930, ,0,NA,0,0,29.39,30.1,7.8,27,8.8
2,6/20/2007,85,62,74,NA,50,61,0,9,NA,NA, ,NA,NA,NA,0,29.46,30.09,5.9,28,7.7
1,6/21/2007,77,61,69,-1,51,60,0,4,416,1930,RA,0,NA,0,0.01,29.36,30.08,3.5,3,10.7
2,6/21/2007,80,66,73,NA,51,61,0,8,NA,NA,RA,NA,NA,NA,0,29.41,30.06,3.7,2,9.6
1,6/22/2007,76,61,69,-1,50,58,0,4,417,1931,RA,0,NA,0,0,29.33,30.06,7.8,6,8.7
2,6/22/2007,75,62,69,NA,49,58,0,4,NA,NA,RA,NA,NA,NA,0,29.39,30.05,6.5,7,8.1
1,6/23/2007,67,62,65,-5,58,61,0,0,417,1931,RA BR,0,NA,0,0.05,29.23,29.96,7.6,12,9
2,6/23/2007,68,61,65,NA,60,62,0,0,NA,NA,RA BR,NA,NA,NA,0.34,29.28,29.95,7.3,11,8.1
1,6/24/2007,77,63,70,-1,62,65,0,5,417,1931,BR HZ,0,NA,0,0,29.26,29.97,7,9,8
2,6/24/2007,75,65,70,NA,62,65,0,5,NA,NA,BR HZ,NA,NA,NA,0,29.33,29.96,5.6,10,6
1,6/25/2007,89,65,77,6,66,70,0,12,417,1931,BR HZ,0,NA,0,0,29.38,30.07,3.9,14,6.8
2,6/25/2007,86,67,77,NA,67,70,0,12,NA,NA,BR HZ,NA,NA,NA,0,29.44,30.06,4,12,5.9
1,6/26/2007,92,70,81,10,69,72,0,16,418,1931,TSRA BR HZ VCTS,0,NA,0,0.16,29.39,30.11,6.1,22,7.1
2,6/26/2007,91,73,82,NA,69,72,0,17,NA,NA,BR HZ,NA,NA,NA,0,29.45,30.09,7.3,21,8.1
1,6/27/2007,91,71,81,10,70,72,0,16,418,1931,TSRA,0,NA,0,0.15,29.29,30.02,7.5,24,8.8
2,6/27/2007,89,71,80,NA,69,72,0,15,NA,NA,TSRA RA BR,NA,NA,NA,0.35,29.36,30,7.9,24,8.5
1,6/28/2007,74,58,66,-5,55,60,0,1,419,1931, ,0,NA,0,0,29.41,30.09,11.9,3,12.5
2,6/28/2007,73,61,67,NA,56,61,0,2,NA,NA, ,NA,NA,NA,NA,29.43,30.07,12.2,2,13.3
1,6/29/2007,70,56,63,-8,55,59,2,0,419,1931, ,0,NA,0,0,29.41,30.13,7.6,2,8.3
2,6/29/2007,71,56,64,NA,56,60,1,0,NA,NA, ,NA,NA,NA,NA,29.47,30.11,7.4,2,8.2
1,6/30/2007,79,54,67,-5,46,56,0,2,419,1931, ,0,NA,0,0,29.41,30.13,4.9,3,5.8
2,6/30/2007,77,58,68,NA,49,58,0,3,NA,NA, ,NA,NA,NA,0,29.46,30.11,5.1,4,6.2
1,7/1/2007,75,54,65,-7,52,58,0,0,420,1931, ,0,NA,0,0,29.51,30.23,8.6,4,8.6
2,7/1/2007,76,61,69,NA,51,59,0,4,NA,NA, ,NA,NA,NA,0,29.56,30.21,9.5,4,9.7
1,7/2/2007,79,53,66,-6,50,58,0,1,420,1931, ,0,NA,0,0,29.49,30.22,5.9,14,8.1
2,7/2/2007,77,58,68,NA,50,59,0,3,NA,NA, ,NA,NA,NA,0,29.55,30.21,7.4,12,8.5
1,7/3/2007,83,60,72,0,57,63,0,7,421,1931,TSRA RA BR,0,NA,0,0.4,29.31,30.06,6.7,21,7.3
2,7/3/2007,83,63,73,NA,56,63,0,8,NA,NA,TSRA RA,NA,NA,NA,0.09,29.38,30.05,6.4,21,7.4
1,7/4/2007,86,67,77,5,65,69,0,12,422,1930,TSRA BR HZ FU,0,NA,0,0.16,29.18,29.9,4.6,27,8.2
2,7/4/2007,84,67,76,NA,65,69,0,11,NA,NA,TSRA RA HZ FU,NA,NA,NA,0.66,29.23,29.88,3.1,25,8.8
1,7/5/2007,89,71,80,8,60,67,0,15,422,1930,BR HZ FU,0,NA,0,0,29.24,29.94,6.4,31,8.1
2,7/5/2007,88,70,79,NA,60,67,0,14,NA,NA,BR,NA,NA,NA,0,29.29,29.92,4.3,33,6.9
1,7/6/2007,86,66,76,4,57,64,0,11,423,1930, ,0,NA,0,0,29.32,30.03,3.2,5,5.5
2,7/6/2007,84,68,76,NA,57,65,0,11,NA,NA, ,NA,NA,NA,0,29.38,30.01,3.3,7,5.5
1,7/7/2007,90,64,77,5,63,69,0,12,423,1930, ,0,NA,0,0,29.18,29.91,8.4,22,8.6
2,7/7/2007,88,68,78,NA,62,68,0,13,NA,NA, ,NA,NA,NA,0,29.24,29.9,7.4,23,8.1
1,7/8/2007,94,75,85,12,67,72,0,20,424,1929, ,0,NA,0,0,29.05,29.77,12.9,24,13.1
2,7/8/2007,93,75,84,NA,67,72,0,19,NA,NA, ,NA,NA,NA,0,29.12,29.76,12.6,23,12.7
1,7/9/2007,94,70,82,9,66,70,0,17,425,1929,TSRA RA VCTS,0,NA,0,0.3,29.11,29.8,4.9,24,8.8
2,7/9/2007,93,72,83,NA,67,71,0,18,NA,NA,RA,NA,NA,NA,0.24,29.16,29.79,4.8,23,8.8
1,7/10/2007,89,69,79,6,67,70,0,14,425,1929,HZ VCTS,0,NA,0,0.43,29.06,29.77,8.6,23,10.5
2,7/10/2007,89,70,80,NA,67,71,0,15,NA,NA,TSRA HZ,NA,NA,NA,0.08,29.13,29.76,8.2,23,10.2
1,7/11/2007,77,62,70,-3,51,59,0,5,426,1928, ,0,NA,0,0,29.23,29.93,8.8,30,10.9
2,7/11/2007,77,63,70,NA,51,59,0,5,NA,NA, ,NA,NA,NA,0,29.28,29.92,9.1,30,11.2
1,7/12/2007,80,61,71,-2,51,59,0,6,427,1928, ,0,NA,0,0,29.22,29.93,9.4,29,11.1
2,7/12/2007,80,60,70,NA,51,60,0,5,NA,NA,VCTS,NA,NA,NA,0,29.28,29.92,10,28,11.4
1,7/13/2007,78,58,68,-5,52,58,0,3,428,1927, ,0,NA,0,0,29.26,29.98,1.4,1,5.3
2,7/13/2007,74,59,67,NA,53,59,0,2,NA,NA, ,NA,NA,NA,0,29.33,29.98,2,7,5.8
1,7/14/2007,84,61,73,0,55,62,0,8,428,1927, ,0,NA,0,0,29.08,29.79,8.3,26,13.2
2,7/14/2007,85,62,74,NA,55,62,0,9,NA,NA, ,NA,NA,NA,0,29.14,29.79,8.4,25,13.9
1,7/15/2007,82,60,71,-3,53,61,0,6,429,1926, ,0,NA,0,0,29.19,29.89,2.1,29,4.9
2,7/15/2007,80,64,72,NA,52,61,0,7,NA,NA, ,NA,NA,NA,0,29.25,29.88,1.2,9,6.5
1,7/16/2007,82,65,74,0,60,65,0,9,430,1925,RA BR,0,NA,0,0.39,29.25,29.96,4.4,24,5.2
2,7/16/2007,82,66,74,NA,60,65,0,9,NA,NA,TSRA RA,NA,NA,NA,0.07,29.31,29.94,5.6,23,6.6
1,7/17/2007,83,68,76,2,66,69,0,11,431,1925,RA BR VCTS,0,NA,0,0.11,29.18,29.9,5.2,23,6.5
2,7/17/2007,83,69,76,NA,65,69,0,11,NA,NA,RA BR,NA,NA,NA,0.11,29.24,29.89,6.3,23,7.4
1,7/18/2007,85,69,77,3,68,71,0,12,432,1924,TSRA RA BR VCTS,0,NA,0,1.55,29.11,29.84,9.1,24,10.1
2,7/18/2007,85,69,77,NA,69,71,0,12,NA,NA,TS TSRA RA BR HZ VCTS,NA,NA,NA,0.92,29.18,29.83,10.3,24,10.6
1,7/19/2007,83,63,73,-1,63,66,0,8,433,1923,DZ BR,0,NA,0,0.16,29.21,29.9,7,1,11.9
2,7/19/2007,82,63,73,NA,62,66,0,8,NA,NA,BR HZ,NA,NA,NA,0.01,29.26,29.88,7.7,36,14.4
1,7/20/2007,75,58,67,-7,53,59,0,2,433,1923, ,0,NA,0,0,29.44,30.14,8.6,3,9.1
2,7/20/2007,74,62,68,NA,52,59,0,3,NA,NA, ,NA,NA,NA,0,29.49,30.12,11.3,4,11.5
1,7/21/2007,74,58,66,-8,52,58,0,1,434,1922, ,0,NA,0,0,29.51,30.22,6.5,3,7.4
2,7/21/2007,75,58,67,NA,52,59,0,2,NA,NA, ,NA,NA,NA,0,29.57,30.21,5.8,4,7.4
1,7/22/2007,81,58,70,-4,55,61,0,5,435,1921, ,0,NA,0,0,29.49,30.21,1.7,16,3.3
2,7/22/2007,81,61,71,NA,54,61,0,6,NA,NA, ,NA,NA,NA,0,29.54,30.2,1.9,18,3.5
1,7/23/2007,83,60,72,-2,55,63,0,7,436,1920, ,0,NA,0,0,29.37,30.1,3.2,9,4
2,7/23/2007,82,63,73,NA,55,63,0,8,NA,NA, ,NA,NA,NA,0,29.42,30.09,2.9,12,3.9
1,7/24/2007,82,65,74,0,58,64,0,9,437,1919, ,0,NA,0,0,29.32,30.04,3.1,20,5.2
2,7/24/2007,82,65,74,NA,57,64,0,9,NA,NA, ,NA,NA,NA,0,29.38,30.03,1.1,21,4.9
1,7/25/2007,85,71,78,4,61,67,0,13,438,1918, ,0,NA,0,0,29.29,30,5.8,25,6.6
2,7/25/2007,83,70,77,NA,60,66,0,12,NA,NA, ,NA,NA,NA,0,29.35,29.99,6.4,23,7
1,7/26/2007,83,66,75,1,65,68,0,10,439,1918,TS TSRA RA BR HZ,0,NA,0,0.19,29.19,29.92,7.2,22,9.4
2,7/26/2007,84,64,74,NA,65,68,0,9,NA,NA,TS TSRA BR HZ,NA,NA,NA,0.89,29.25,29.91,7.2,22,9.9
1,7/27/2007,83,70,77,3,68,70,0,12,440,1917,RA BR HZ,0,NA,0,0.17,29.11,29.82,3,3,7.9
2,7/27/2007,83,70,77,NA,67,70,0,12,NA,NA,RA BR HZ,NA,NA,NA,0.04,29.16,29.8,1.2,36,8.1
1,7/28/2007,80,66,73,-1,65,68,0,8,441,1916,BR HZ,0,NA,0,0,29.23,29.93,10,3,10.2
2,7/28/2007,80,70,75,NA,65,68,0,10,NA,NA,BR HZ,NA,NA,NA,0,29.28,29.91,10.6,3,10.7
1,7/29/2007,85,63,74,0,57,64,0,9,442,1915, ,0,NA,0,0,29.28,29.99,4.8,5,5.7
2,7/29/2007,85,67,76,NA,56,64,0,11,NA,NA, ,NA,NA,NA,0,29.34,29.97,6.3,5,6.9
1,7/30/2007,89,62,76,2,55,64,0,11,443,1914, ,0,NA,0,0,29.33,30.03,3.8,6,4.3
2,7/30/2007,86,65,76,NA,57,65,0,11,NA,NA, ,NA,NA,NA,0,29.39,30.01,3.1,6,4.6
1,7/31/2007,91,68,80,6,61,68,0,15,444,1913, ,0,NA,0,0,29.33,30.04,3.3,4,4.9
2,7/31/2007,89,69,79,NA,60,68,0,14,NA,NA, ,NA,NA,NA,0,29.39,30.02,4,7,5
1,8/1/2007,92,69,81,8,62,69,0,16,445,1911,HZ,0,NA,0,0,29.29,30,3.5,9,4.1
2,8/1/2007,91,69,80,NA,63,70,0,15,NA,NA, ,NA,NA,NA,0,29.34,29.98,2.1,13,3.7
1,8/2/2007,91,70,81,8,66,71,0,16,446,1910,HZ,0,NA,0,0,29.26,29.97,5.5,26,5.9
2,8/2/2007,91,73,82,NA,66,72,0,17,NA,NA, ,NA,NA,NA,0,29.31,29.95,6.5,23,7.2
1,8/3/2007,90,69,80,7,56,66,0,15,447,1909, ,0,NA,0,0,29.31,30.02,2.7,3,5.7
2,8/3/2007,88,73,81,NA,58,67,0,16,NA,NA, ,NA,NA,NA,0,29.36,30,3.3,6,5.8
1,8/4/2007,81,64,73,0,58,64,0,8,448,1908,RA,0,NA,0,0.03,29.31,30.03,5.7,8,6.1
2,8/4/2007,81,68,75,NA,58,65,0,10,NA,NA,RA,NA,NA,NA,0.02,29.36,30.01,5.9,9,6.6
1,8/5/2007,88,67,78,5,71,73,0,13,449,1907,TSRA RA BR HZ,0,NA,0,1.43,29.08,29.81,5.4,21,9.6
2,8/5/2007,88,68,78,NA,71,72,0,13,NA,NA,TSRA RA BR VCTS,NA,NA,NA,0.97,29.15,29.79,7,22,10.2
1,8/6/2007,88,74,81,8,72,74,0,16,450,1906,TSRA RA BR HZ,0,NA,0,0.26,29.13,29.83,1.6,10,4.9
2,8/6/2007,85,75,80,NA,72,74,0,15,NA,NA,TS TSRA BR HZ,NA,NA,NA,0.05,29.17,29.81,2.6,10,4.6
1,8/7/2007,91,72,82,9,73,76,0,17,451,1904,RA BR,0,NA,0,1.31,29.06,29.76,6.2,25,9
2,8/7/2007,92,73,83,NA,73,76,0,18,NA,NA,VCTS,NA,NA,NA,0.06,29.11,29.74,6.3,24,8.8
1,8/8/2007,87,73,80,7,71,73,0,15,452,1903,TSRA RA BR,0,NA,0,0.06,29.13,29.83,3,3,6.9
2,8/8/2007,87,74,81,NA,72,74,0,16,NA,NA,TSRA RA DZ BR HZ,NA,NA,NA,0.09,29.18,29.81,1.5,4,6.4
1,8/9/2007,84,72,78,5,71,73,0,13,453,1902,TSRA RA,0,NA,0,0.05,29.13,29.84,2.5,29,6
2,8/9/2007,85,73,79,NA,71,73,0,14,NA,NA,TSRA BR HZ,NA,NA,NA,0.46,29.19,29.82,3.1,27,6.3
1,8/10/2007,86,70,78,5,68,72,0,13,454,1900,BR,0,NA,0,0,29.26,29.96,4.5,2,5.9
2,8/10/2007,86,73,80,NA,69,72,0,15,NA,NA, ,NA,NA,NA,0,29.32,29.94,3,6,5.4
1,8/11/2007,89,67,78,5,65,70,0,13,455,1859,BR HZ,0,NA,0,0,29.31,30.02,3.2,19,3.9
2,8/11/2007,88,68,78,NA,65,70,0,13,NA,NA,BR HZ,NA,NA,NA,0,29.38,30,3.1,20,3.9
1,8/12/2007,88,67,78,5,67,71,0,13,456,1858,TSRA,0,NA,0,0.29,29.34,30.06,1.7,6,5.4
2,8/12/2007,87,68,78,NA,67,70,0,13,NA,NA,TSRA,NA,NA,NA,0.23,29.4,30.04,1.9,6,6.6
1,8/13/2007,81,65,73,0,57,64,0,8,457,1856,BR,0,NA,0,0,29.39,30.11,6.2,6,6.9
2,8/13/2007,80,69,75,NA,54,63,0,10,NA,NA, ,NA,NA,NA,0,29.44,30.08,6.9,8,7.7
1,8/14/2007,84,65,75,3,67,70,0,10,458,1855,TS TSRA RA BR,0,NA,0,0.41,29.23,29.93,5.9,25,8
2,8/14/2007,84,65,75,NA,66,69,0,10,NA,NA,TSRA RA BR,NA,NA,NA,0.45,29.29,29.92,6.4,23,9
1,8/15/2007,80,71,76,4,67,70,0,11,459,1854,TSRA RA BR,0,NA,0,0.23,29.17,29.89,3.4,7,5.8
2,8/15/2007,81,72,77,NA,69,71,0,12,NA,NA,TS TSRA RA BR,NA,NA,NA,0.83,29.23,29.87,4.9,6,7.1
1,8/16/2007,77,65,71,-1,64,67,0,6,500,1852,BR,0,NA,0,0,29.28,29.97,3.6,1,5.7
