"","Species","Latitude","Longitude","WnvPresent","Tmax","Tmin","Tavg","Depart","DewPoint","WetBulb","Heat","Cool","Sunrise","Sunset","CodeSum","PrecipTotal","StnPressure","SeaLevel","ResultSpeed","ResultDir","AvgSpeed"
"15","CULEX RESTUANS",41.688324,-87.676709,0,88,60,74,10,58,65,0,9,421,1917,"BR HZ",0,29.39,30.11,5.8,18,6.5
"16","CULEX RESTUANS",41.862292,-87.64886,0,88,60,74,10,58,65,0,9,421,1917,"BR HZ",0,29.39,30.11,5.8,18,6.5
"17","CULEX RESTUANS",41.720848,-87.666014,0,88,60,74,10,58,65,0,9,421,1917,"BR HZ",0,29.39,30.11,5.8,18,6.5
"18","CULEX RESTUANS",41.731922,-87.677512,0,88,60,74,10,58,65,0,9,421,1917,"BR HZ",0,29.39,30.11,5.8,18,6.5
"19","CULEX PIPIENS",41.731922,-87.677512,0,88,60,74,10,58,65,0,9,421,1917,"BR HZ",0,29.39,30.11,5.8,18,6.5
"20","CULEX PIPIENS/RESTUANS",41.891126,-87.61156,0,88,60,74,10,58,65,0,9,421,1917,"BR HZ",0,29.39,30.11,5.8,18,6.5
"21","CULEX RESTUANS",41.891126,-87.61156,0,88,60,74,10,58,65,0,9,421,1917,"BR HZ",0,29.39,30.11,5.8,18,6.5
"22","CULEX PIPIENS/RESTUANS",41.999129,-87.795585,0,88,60,74,10,58,65,0,9,421,1917,"BR HZ",0,29.39,30.11,5.8,18,6.5
"23","CULEX PIPIENS/RESTUANS",42.01743,-87.687769,0,88,60,74,10,58,65,0,9,421,1917,"BR HZ",0,29.39,30.11,5.8,18,6.5
"24","CULEX RESTUANS",41.907645,-87.760886,0,88,60,74,10,58,65,0,9,421,1917,"BR HZ",0,29.39,30.11,5.8,18,6.5
"25","CULEX RESTUANS",41.732984,-87.649642,0,88,60,74,10,58,65,0,9,421,1917,"BR HZ",0,29.39,30.11,5.8,18,6.5
"26","CULEX PIPIENS/RESTUANS",41.95469,-87.800991,0,64,47,56,-9,48,51,9,0,417,1923,"RA BR",0.42,29.1,29.79,5.2,5,7.6
"27","CULEX RESTUANS",41.95469,-87.800991,0,64,47,56,-9,48,51,9,0,417,1923,"RA BR",0.42,29.1,29.79,5.2,5,7.6
"28","CULEX PIPIENS",41.95469,-87.800991,0,64,47,56,-9,48,51,9,0,417,1923,"RA BR",0.42,29.1,29.79,5.2,5,7.6
"29","CULEX PIPIENS/RESTUANS",41.974089,-87.824812,0,64,47,56,-9,48,51,9,0,417,1923,"RA BR",0.42,29.1,29.79,5.2,5,7.6
"30","CULEX RESTUANS",41.974089,-87.824812,0,64,47,56,-9,48,51,9,0,417,1923,"RA BR",0.42,29.1,29.79,5.2,5,7.6
"31","CULEX PIPIENS/RESTUANS",41.9216,-87.666455,0,64,47,56,-9,48,51,9,0,417,1923,"RA BR",0.42,29.1,29.79,5.2,5,7.6
"32","CULEX RESTUANS",41.9216,-87.666455,0,64,47,56,-9,48,51,9,0,417,1923,"RA BR",0.42,29.1,29.79,5.2,5,7.6
"33","CULEX PIPIENS",41.9216,-87.666455,0,64,47,56,-9,48,51,9,0,417,1923,"RA BR",0.42,29.1,29.79,5.2,5,7.6
"34","CULEX RESTUANS",41.891118,-87.654491,0,64,47,56,-9,48,51,9,0,417,1923,"RA BR",0.42,29.1,29.79,5.2,5,7.6
"35","CULEX PIPIENS/RESTUANS",41.867108,-87.654224,0,64,47,56,-9,48,51,9,0,417,1923,"RA BR",0.42,29.1,29.79,5.2,5,7.6
"36","CULEX RESTUANS",41.867108,-87.654224,0,64,47,56,-9,48,51,9,0,417,1923,"RA BR",0.42,29.1,29.79,5.2,5,7.6
"37","CULEX PIPIENS",41.867108,-87.654224,0,64,47,56,-9,48,51,9,0,417,1923,"RA BR",0.42,29.1,29.79,5.2,5,7.6
"38","CULEX RESTUANS",41.896282,-87.655232,0,64,47,56,-9,48,51,9,0,417,1923,"RA BR",0.42,29.1,29.79,5.2,5,7.6
"39","CULEX PIPIENS/RESTUANS",41.919343,-87.694259,0,64,47,56,-9,48,51,9,0,417,1923,"RA BR",0.42,29.1,29.79,5.2,5,7.6
"40","CULEX RESTUANS",41.919343,-87.694259,0,64,47,56,-9,48,51,9,0,417,1923,"RA BR",0.42,29.1,29.79,5.2,5,7.6
"41","CULEX RESTUANS",41.921965,-87.632085,0,64,47,56,-9,48,51,9,0,417,1923,"RA BR",0.42,29.1,29.79,5.2,5,7.6
"42","CULEX RESTUANS",41.688324,-87.676709,0,64,47,56,-9,48,51,9,0,417,1923,"RA BR",0.42,29.1,29.79,5.2,5,7.6
"43","CULEX PIPIENS/RESTUANS",41.720848,-87.666014,0,64,47,56,-9,48,51,9,0,417,1923,"RA BR",0.42,29.1,29.79,5.2,5,7.6
"44","CULEX PIPIENS/RESTUANS",41.731922,-87.677512,0,64,47,56,-9,48,51,9,0,417,1923,"RA BR",0.42,29.1,29.79,5.2,5,7.6
"45","CULEX RESTUANS",41.731922,-87.677512,0,64,47,56,-9,48,51,9,0,417,1923,"RA BR",0.42,29.1,29.79,5.2,5,7.6
"46","CULEX PIPIENS",41.731922,-87.677512,0,64,47,56,-9,48,51,9,0,417,1923,"RA BR",0.42,29.1,29.79,5.2,5,7.6
"47","CULEX PIPIENS/RESTUANS",41.999129,-87.795585,0,64,47,56,-9,48,51,9,0,417,1923,"RA BR",0.42,29.1,29.79,5.2,5,7.6
"48","CULEX RESTUANS",41.999129,-87.795585,0,64,47,56,-9,48,51,9,0,417,1923,"RA BR",0.42,29.1,29.79,5.2,5,7.6
"49","CULEX RESTUANS",41.907645,-87.760886,0,64,47,56,-9,48,51,9,0,417,1923,"RA BR",0.42,29.1,29.79,5.2,5,7.6
"50","CULEX RESTUANS",41.732984,-87.649642,0,64,47,56,-9,48,51,9,0,417,1923,"RA BR",0.42,29.1,29.79,5.2,5,7.6
"51","CULEX RESTUANS",41.981964,-87.812827,0,64,47,56,-9,48,51,9,0,417,1923,"RA BR",0.42,29.1,29.79,5.2,5,7.6
"52","CULEX RESTUANS",41.944869,-87.832763,0,64,47,56,-9,48,51,9,0,417,1923,"RA BR",0.42,29.1,29.79,5.2,5,7.6
"53","CULEX RESTUANS",42.011601,-87.811506,0,64,47,56,-9,48,51,9,0,417,1923,"RA BR",0.42,29.1,29.79,5.2,5,7.6
"54","CULEX RESTUANS",41.94983,-87.698457,0,64,47,56,-9,48,51,9,0,417,1923,"RA BR",0.42,29.1,29.79,5.2,5,7.6
"55","CULEX RESTUANS",41.979243,-87.750938,0,64,47,56,-9,48,51,9,0,417,1923,"RA BR",0.42,29.1,29.79,5.2,5,7.6
"56","CULEX RESTUANS",41.986921,-87.689778,0,64,47,56,-9,48,51,9,0,417,1923,"RA BR",0.42,29.1,29.79,5.2,5,7.6
"57","CULEX PIPIENS/RESTUANS",41.801498,-87.763416,0,64,47,56,-9,48,51,9,0,417,1923,"RA BR",0.42,29.1,29.79,5.2,5,7.6
"58","CULEX RESTUANS",41.906638,-87.701431,0,64,47,56,-9,48,51,9,0,417,1923,"RA BR",0.42,29.1,29.79,5.2,5,7.6
"59","CULEX RESTUANS",41.723195,-87.64997,0,64,47,56,-9,48,51,9,0,417,1923,"RA BR",0.42,29.1,29.79,5.2,5,7.6
"60","CULEX PIPIENS/RESTUANS",41.868077,-87.666901,0,64,47,56,-9,48,51,9,0,417,1923,"RA BR",0.42,29.1,29.79,5.2,5,7.6
"61","CULEX RESTUANS",41.868077,-87.666901,0,64,47,56,-9,48,51,9,0,417,1923,"RA BR",0.42,29.1,29.79,5.2,5,7.6
"62","CULEX PIPIENS/RESTUANS",41.869216,-87.627561,0,64,47,56,-9,48,51,9,0,417,1923,"RA BR",0.42,29.1,29.79,5.2,5,7.6
"63","CULEX PIPIENS/RESTUANS",41.662014,-87.724608,0,64,47,56,-9,48,51,9,0,417,1923,"RA BR",0.42,29.1,29.79,5.2,5,7.6
"64","CULEX RESTUANS",41.662014,-87.724608,0,64,47,56,-9,48,51,9,0,417,1923,"RA BR",0.42,29.1,29.79,5.2,5,7.6
"65","CULEX PIPIENS",41.662014,-87.724608,0,64,47,56,-9,48,51,9,0,417,1923,"RA BR",0.42,29.1,29.79,5.2,5,7.6
"66","CULEX PIPIENS/RESTUANS",41.961743,-87.76007,0,64,47,56,-9,48,51,9,0,417,1923,"RA BR",0.42,29.1,29.79,5.2,5,7.6
"67","CULEX RESTUANS",41.961743,-87.76007,0,64,47,56,-9,48,51,9,0,417,1923,"RA BR",0.42,29.1,29.79,5.2,5,7.6
"68","CULEX PIPIENS/RESTUANS",41.953067,-87.776792,0,64,47,56,-9,48,51,9,0,417,1923,"RA BR",0.42,29.1,29.79,5.2,5,7.6
"69","CULEX RESTUANS",41.953067,-87.776792,0,64,47,56,-9,48,51,9,0,417,1923,"RA BR",0.42,29.1,29.79,5.2,5,7.6
"70","CULEX RESTUANS",41.878114,-87.629798,0,64,47,56,-9,48,51,9,0,417,1923,"RA BR",0.42,29.1,29.79,5.2,5,7.6
"71","CULEX PIPIENS/RESTUANS",41.958271,-87.702575,0,64,47,56,-9,48,51,9,0,417,1923,"RA BR",0.42,29.1,29.79,5.2,5,7.6
"72","CULEX RESTUANS",41.958271,-87.702575,0,64,47,56,-9,48,51,9,0,417,1923,"RA BR",0.42,29.1,29.79,5.2,5,7.6
"73","CULEX RESTUANS",41.932094,-87.700117,0,64,47,56,-9,48,51,9,0,417,1923,"RA BR",0.42,29.1,29.79,5.2,5,7.6
"74","CULEX PIPIENS/RESTUANS",41.994469,-87.667736,0,64,47,56,-9,48,51,9,0,417,1923,"RA BR",0.42,29.1,29.79,5.2,5,7.6
"75","CULEX RESTUANS",42.006858,-87.675919,0,64,47,56,-9,48,51,9,0,417,1923,"RA BR",0.42,29.1,29.79,5.2,5,7.6
"76","CULEX PIPIENS/RESTUANS",41.916265,-87.800515,0,64,47,56,-9,48,51,9,0,417,1923,"RA BR",0.42,29.1,29.79,5.2,5,7.6
"77","CULEX RESTUANS",41.916265,-87.800515,0,64,47,56,-9,48,51,9,0,417,1923,"RA BR",0.42,29.1,29.79,5.2,5,7.6
"78","CULEX RESTUANS",41.846075,-87.716277,0,64,47,56,-9,48,51,9,0,417,1923,"RA BR",0.42,29.1,29.79,5.2,5,7.6
"79","CULEX RESTUANS",41.918705,-87.752329,0,64,47,56,-9,48,51,9,0,417,1923,"RA BR",0.42,29.1,29.79,5.2,5,7.6
"80","CULEX PIPIENS/RESTUANS",41.682587,-87.707973,0,64,47,56,-9,48,51,9,0,417,1923,"RA BR",0.42,29.1,29.79,5.2,5,7.6
"81","CULEX RESTUANS",41.682587,-87.707973,0,64,47,56,-9,48,51,9,0,417,1923,"RA BR",0.42,29.1,29.79,5.2,5,7.6
"82","CULEX PIPIENS/RESTUANS",41.725517,-87.614258,0,64,47,56,-9,48,51,9,0,417,1923,"RA BR",0.42,29.1,29.79,5.2,5,7.6
"83","CULEX PIPIENS/RESTUANS",41.948167,-87.730698,0,64,47,56,-9,48,51,9,0,417,1923,"RA BR",0.42,29.1,29.79,5.2,5,7.6
"84","CULEX RESTUANS",41.948167,-87.730698,0,64,47,56,-9,48,51,9,0,417,1923,"RA BR",0.42,29.1,29.79,5.2,5,7.6
"85","CULEX RESTUANS",41.963976,-87.69181,0,64,47,56,-9,48,51,9,0,417,1923,"RA BR",0.42,29.1,29.79,5.2,5,7.6
"86","CULEX PIPIENS/RESTUANS",41.95469,-87.800991,0,92,70,81,10,69,72,0,16,418,1931,"TSRA BR HZ VCTS",0.16,29.39,30.11,6.1,22,7.1
"87","CULEX RESTUANS",41.95469,-87.800991,0,92,70,81,10,69,72,0,16,418,1931,"TSRA BR HZ VCTS",0.16,29.39,30.11,6.1,22,7.1
"88","CULEX SALINARIUS",41.95469,-87.800991,0,92,70,81,10,69,72,0,16,418,1931,"TSRA BR HZ VCTS",0.16,29.39,30.11,6.1,22,7.1
"89","CULEX PIPIENS/RESTUANS",41.994991,-87.769279,0,92,70,81,10,69,72,0,16,418,1931,"TSRA BR HZ VCTS",0.16,29.39,30.11,6.1,22,7.1
"90","CULEX RESTUANS",41.994991,-87.769279,0,92,70,81,10,69,72,0,16,418,1931,"TSRA BR HZ VCTS",0.16,29.39,30.11,6.1,22,7.1
"91","CULEX RESTUANS",41.974089,-87.824812,0,92,70,81,10,69,72,0,16,418,1931,"TSRA BR HZ VCTS",0.16,29.39,30.11,6.1,22,7.1
"92","CULEX PIPIENS/RESTUANS",41.9216,-87.666455,0,92,70,81,10,69,72,0,16,418,1931,"TSRA BR HZ VCTS",0.16,29.39,30.11,6.1,22,7.1
"93","CULEX RESTUANS",41.9216,-87.666455,0,92,70,81,10,69,72,0,16,418,1931,"TSRA BR HZ VCTS",0.16,29.39,30.11,6.1,22,7.1
"94","CULEX PIPIENS/RESTUANS",41.891118,-87.654491,0,92,70,81,10,69,72,0,16,418,1931,"TSRA BR HZ VCTS",0.16,29.39,30.11,6.1,22,7.1
"95","CULEX RESTUANS",41.891118,-87.654491,0,92,70,81,10,69,72,0,16,418,1931,"TSRA BR HZ VCTS",0.16,29.39,30.11,6.1,22,7.1
"96","CULEX PIPIENS/RESTUANS",41.867108,-87.654224,0,92,70,81,10,69,72,0,16,418,1931,"TSRA BR HZ VCTS",0.16,29.39,30.11,6.1,22,7.1
"97","CULEX RESTUANS",41.896282,-87.655232,0,92,70,81,10,69,72,0,16,418,1931,"TSRA BR HZ VCTS",0.16,29.39,30.11,6.1,22,7.1
"98","CULEX RESTUANS",41.919343,-87.694259,0,92,70,81,10,69,72,0,16,418,1931,"TSRA BR HZ VCTS",0.16,29.39,30.11,6.1,22,7.1
"99","CULEX PIPIENS/RESTUANS",41.688324,-87.676709,0,92,70,81,10,69,72,0,16,418,1931,"TSRA BR HZ VCTS",0.16,29.39,30.11,6.1,22,7.1
"100","CULEX PIPIENS/RESTUANS",41.688324,-87.676709,0,92,70,81,10,69,72,0,16,418,1931,"TSRA BR HZ VCTS",0.16,29.39,30.11,6.1,22,7.1
"101","CULEX RESTUANS",41.688324,-87.676709,0,92,70,81,10,69,72,0,16,418,1931,"TSRA BR HZ VCTS",0.16,29.39,30.11,6.1,22,7.1
"102","CULEX RESTUANS",41.731922,-87.677512,0,92,70,81,10,69,72,0,16,418,1931,"TSRA BR HZ VCTS",0.16,29.39,30.11,6.1,22,7.1
"103","CULEX PIPIENS/RESTUANS",41.891126,-87.61156,0,92,70,81,10,69,72,0,16,418,1931,"TSRA BR HZ VCTS",0.16,29.39,30.11,6.1,22,7.1
"104","CULEX RESTUANS",41.891126,-87.61156,0,92,70,81,10,69,72,0,16,418,1931,"TSRA BR HZ VCTS",0.16,29.39,30.11,6.1,22,7.1
"105","CULEX PIPIENS/RESTUANS",41.999129,-87.795585,0,92,70,81,10,69,72,0,16,418,1931,"TSRA BR HZ VCTS",0.16,29.39,30.11,6.1,22,7.1
"106","CULEX RESTUANS",41.999129,-87.795585,0,92,70,81,10,69,72,0,16,418,1931,"TSRA BR HZ VCTS",0.16,29.39,30.11,6.1,22,7.1
"107","CULEX PIPIENS/RESTUANS",42.01743,-87.687769,0,92,70,81,10,69,72,0,16,418,1931,"TSRA BR HZ VCTS",0.16,29.39,30.11,6.1,22,7.1
"108","CULEX RESTUANS",42.01743,-87.687769,0,92,70,81,10,69,72,0,16,418,1931,"TSRA BR HZ VCTS",0.16,29.39,30.11,6.1,22,7.1
"109","CULEX PIPIENS/RESTUANS",41.944869,-87.832763,0,92,70,81,10,69,72,0,16,418,1931,"TSRA BR HZ VCTS",0.16,29.39,30.11,6.1,22,7.1
"110","CULEX RESTUANS",41.944869,-87.832763,0,92,70,81,10,69,72,0,16,418,1931,"TSRA BR HZ VCTS",0.16,29.39,30.11,6.1,22,7.1
"111","CULEX PIPIENS/RESTUANS",42.011601,-87.811506,0,92,70,81,10,69,72,0,16,418,1931,"TSRA BR HZ VCTS",0.16,29.39,30.11,6.1,22,7.1
"112","CULEX RESTUANS",42.011601,-87.811506,0,92,70,81,10,69,72,0,16,418,1931,"TSRA BR HZ VCTS",0.16,29.39,30.11,6.1,22,7.1
"113","CULEX RESTUANS",41.94983,-87.698457,0,92,70,81,10,69,72,0,16,418,1931,"TSRA BR HZ VCTS",0.16,29.39,30.11,6.1,22,7.1
"114","CULEX PIPIENS/RESTUANS",41.979243,-87.750938,0,92,70,81,10,69,72,0,16,418,1931,"TSRA BR HZ VCTS",0.16,29.39,30.11,6.1,22,7.1
"115","CULEX PIPIENS/RESTUANS",41.986921,-87.689778,0,92,70,81,10,69,72,0,16,418,1931,"TSRA BR HZ VCTS",0.16,29.39,30.11,6.1,22,7.1
"116","CULEX RESTUANS",41.986921,-87.689778,0,92,70,81,10,69,72,0,16,418,1931,"TSRA BR HZ VCTS",0.16,29.39,30.11,6.1,22,7.1
"117","CULEX PIPIENS/RESTUANS",41.906638,-87.701431,0,92,70,81,10,69,72,0,16,418,1931,"TSRA BR HZ VCTS",0.16,29.39,30.11,6.1,22,7.1
"118","CULEX RESTUANS",41.906638,-87.701431,0,92,70,81,10,69,72,0,16,418,1931,"TSRA BR HZ VCTS",0.16,29.39,30.11,6.1,22,7.1
"119","CULEX PIPIENS/RESTUANS",41.868077,-87.666901,0,92,70,81,10,69,72,0,16,418,1931,"TSRA BR HZ VCTS",0.16,29.39,30.11,6.1,22,7.1
"120","CULEX RESTUANS",41.868077,-87.666901,0,92,70,81,10,69,72,0,16,418,1931,"TSRA BR HZ VCTS",0.16,29.39,30.11,6.1,22,7.1
"121","CULEX PIPIENS",41.868077,-87.666901,0,92,70,81,10,69,72,0,16,418,1931,"TSRA BR HZ VCTS",0.16,29.39,30.11,6.1,22,7.1
"122","CULEX PIPIENS/RESTUANS",41.662014,-87.724608,0,92,70,81,10,69,72,0,16,418,1931,"TSRA BR HZ VCTS",0.16,29.39,30.11,6.1,22,7.1
"123","CULEX RESTUANS",41.662014,-87.724608,0,92,70,81,10,69,72,0,16,418,1931,"TSRA BR HZ VCTS",0.16,29.39,30.11,6.1,22,7.1
"124","CULEX PIPIENS",41.662014,-87.724608,0,92,70,81,10,69,72,0,16,418,1931,"TSRA BR HZ VCTS",0.16,29.39,30.11,6.1,22,7.1
"125","CULEX PIPIENS/RESTUANS",41.961743,-87.76007,0,92,70,81,10,69,72,0,16,418,1931,"TSRA BR HZ VCTS",0.16,29.39,30.11,6.1,22,7.1
"126","CULEX RESTUANS",41.961743,-87.76007,0,92,70,81,10,69,72,0,16,418,1931,"TSRA BR HZ VCTS",0.16,29.39,30.11,6.1,22,7.1
"127","CULEX RESTUANS",41.953067,-87.776792,0,92,70,81,10,69,72,0,16,418,1931,"TSRA BR HZ VCTS",0.16,29.39,30.11,6.1,22,7.1
"128","CULEX RESTUANS",41.878114,-87.629798,0,92,70,81,10,69,72,0,16,418,1931,"TSRA BR HZ VCTS",0.16,29.39,30.11,6.1,22,7.1
"129","CULEX RESTUANS",41.958271,-87.702575,0,92,70,81,10,69,72,0,16,418,1931,"TSRA BR HZ VCTS",0.16,29.39,30.11,6.1,22,7.1
"130","CULEX RESTUANS",41.932094,-87.700117,0,92,70,81,10,69,72,0,16,418,1931,"TSRA BR HZ VCTS",0.16,29.39,30.11,6.1,22,7.1
"131","CULEX RESTUANS",42.006858,-87.675919,0,92,70,81,10,69,72,0,16,418,1931,"TSRA BR HZ VCTS",0.16,29.39,30.11,6.1,22,7.1
"132","CULEX PIPIENS/RESTUANS",41.916265,-87.800515,0,92,70,81,10,69,72,0,16,418,1931,"TSRA BR HZ VCTS",0.16,29.39,30.11,6.1,22,7.1
"133","CULEX RESTUANS",41.916265,-87.800515,0,92,70,81,10,69,72,0,16,418,1931,"TSRA BR HZ VCTS",0.16,29.39,30.11,6.1,22,7.1
"134","CULEX PIPIENS/RESTUANS",41.682587,-87.707973,0,92,70,81,10,69,72,0,16,418,1931,"TSRA BR HZ VCTS",0.16,29.39,30.11,6.1,22,7.1
"135","CULEX RESTUANS",41.682587,-87.707973,0,92,70,81,10,69,72,0,16,418,1931,"TSRA BR HZ VCTS",0.16,29.39,30.11,6.1,22,7.1
"136","CULEX RESTUANS",41.963976,-87.69181,0,92,70,81,10,69,72,0,16,418,1931,"TSRA BR HZ VCTS",0.16,29.39,30.11,6.1,22,7.1
"137","CULEX PIPIENS/RESTUANS",41.953705,-87.733974,0,92,70,81,10,69,72,0,16,418,1931,"TSRA BR HZ VCTS",0.16,29.39,30.11,6.1,22,7.1
"138","CULEX RESTUANS",41.964242,-87.757639,0,92,70,81,10,69,72,0,16,418,1931,"TSRA BR HZ VCTS",0.16,29.39,30.11,6.1,22,7.1
"139","CULEX PIPIENS/RESTUANS",41.990284,-87.797127,0,92,70,81,10,69,72,0,16,418,1931,"TSRA BR HZ VCTS",0.16,29.39,30.11,6.1,22,7.1
"140","CULEX RESTUANS",41.990284,-87.797127,0,92,70,81,10,69,72,0,16,418,1931,"TSRA BR HZ VCTS",0.16,29.39,30.11,6.1,22,7.1
"141","CULEX RESTUANS",42.008314,-87.777921,0,92,70,81,10,69,72,0,16,418,1931,"TSRA BR HZ VCTS",0.16,29.39,30.11,6.1,22,7.1
"142","CULEX PIPIENS/RESTUANS",41.991429,-87.747113,0,92,70,81,10,69,72,0,16,418,1931,"TSRA BR HZ VCTS",0.16,29.39,30.11,6.1,22,7.1
"143","CULEX RESTUANS",41.843811,-87.686763,0,92,70,81,10,69,72,0,16,418,1931,"TSRA BR HZ VCTS",0.16,29.39,30.11,6.1,22,7.1
"144","CULEX RESTUANS",41.921177,-87.79518,0,92,70,81,10,69,72,0,16,418,1931,"TSRA BR HZ VCTS",0.16,29.39,30.11,6.1,22,7.1
"145","CULEX PIPIENS/RESTUANS",41.852652,-87.719887,0,92,70,81,10,69,72,0,16,418,1931,"TSRA BR HZ VCTS",0.16,29.39,30.11,6.1,22,7.1
"146","CULEX RESTUANS",41.852652,-87.719887,0,92,70,81,10,69,72,0,16,418,1931,"TSRA BR HZ VCTS",0.16,29.39,30.11,6.1,22,7.1
"147","CULEX RESTUANS",41.857402,-87.694991,0,92,70,81,10,69,72,0,16,418,1931,"TSRA BR HZ VCTS",0.16,29.39,30.11,6.1,22,7.1
"148","CULEX PIPIENS/RESTUANS",41.868142,-87.696269,0,92,70,81,10,69,72,0,16,418,1931,"TSRA BR HZ VCTS",0.16,29.39,30.11,6.1,22,7.1
"149","CULEX RESTUANS",41.868142,-87.696269,0,92,70,81,10,69,72,0,16,418,1931,"TSRA BR HZ VCTS",0.16,29.39,30.11,6.1,22,7.1
"150","CULEX PIPIENS/RESTUANS",41.846283,-87.656913,0,92,70,81,10,69,72,0,16,418,1931,"TSRA BR HZ VCTS",0.16,29.39,30.11,6.1,22,7.1
"151","CULEX RESTUANS",41.721474,-87.648064,0,92,70,81,10,69,72,0,16,418,1931,"TSRA BR HZ VCTS",0.16,29.39,30.11,6.1,22,7.1
"152","CULEX PIPIENS",41.869107,-87.696293,0,92,70,81,10,69,72,0,16,418,1931,"TSRA BR HZ VCTS",0.16,29.39,30.11,6.1,22,7.1
"153","CULEX PIPIENS/RESTUANS",41.719059,-87.675088,0,92,70,81,10,69,72,0,16,418,1931,"TSRA BR HZ VCTS",0.16,29.39,30.11,6.1,22,7.1
"154","CULEX RESTUANS",41.719059,-87.675088,0,92,70,81,10,69,72,0,16,418,1931,"TSRA BR HZ VCTS",0.16,29.39,30.11,6.1,22,7.1
"155","CULEX RESTUANS",41.966987,-87.674677,0,92,70,81,10,69,72,0,16,418,1931,"TSRA BR HZ VCTS",0.16,29.39,30.11,6.1,22,7.1
"156","CULEX PIPIENS/RESTUANS",41.95469,-87.800991,0,70,56,63,-8,55,59,2,0,419,1931," ",0,29.41,30.13,7.6,2,8.3
"157","CULEX PIPIENS/RESTUANS",41.974089,-87.824812,0,70,56,63,-8,55,59,2,0,419,1931," ",0,29.41,30.13,7.6,2,8.3
"158","CULEX RESTUANS",41.974089,-87.824812,0,70,56,63,-8,55,59,2,0,419,1931," ",0,29.41,30.13,7.6,2,8.3
"159","CULEX RESTUANS",41.891118,-87.654491,0,70,56,63,-8,55,59,2,0,419,1931," ",0,29.41,30.13,7.6,2,8.3
"160","CULEX PIPIENS/RESTUANS",41.921965,-87.632085,0,70,56,63,-8,55,59,2,0,419,1931," ",0,29.41,30.13,7.6,2,8.3
"161","CULEX RESTUANS",41.688324,-87.676709,0,70,56,63,-8,55,59,2,0,419,1931," ",0,29.41,30.13,7.6,2,8.3
"162","CULEX PIPIENS",41.688324,-87.676709,0,70,56,63,-8,55,59,2,0,419,1931," ",0,29.41,30.13,7.6,2,8.3
"163","CULEX PIPIENS/RESTUANS",41.862292,-87.64886,0,70,56,63,-8,55,59,2,0,419,1931," ",0,29.41,30.13,7.6,2,8.3
"164","CULEX RESTUANS",41.731922,-87.677512,0,70,56,63,-8,55,59,2,0,419,1931," ",0,29.41,30.13,7.6,2,8.3
"165","CULEX RESTUANS",41.999129,-87.795585,0,70,56,63,-8,55,59,2,0,419,1931," ",0,29.41,30.13,7.6,2,8.3
"166","CULEX PIPIENS/RESTUANS",42.01743,-87.687769,0,70,56,63,-8,55,59,2,0,419,1931," ",0,29.41,30.13,7.6,2,8.3
"167","CULEX RESTUANS",42.01743,-87.687769,0,70,56,63,-8,55,59,2,0,419,1931," ",0,29.41,30.13,7.6,2,8.3
